"question","option1","option2","option3","option4","correct_option","subtopic_id","correct_answer_logic"
"The Unitary Method is best described as:","Finding the value of many units first","Finding the value of ONE unit first","Adding all units together","A method for subtraction","b","class6-unitary-method","**Start with ONE! 1️⃣**<br>The Unitary Method is all about power of one! First, you find the value of **a single unit** (by dividing). Then, you use that to find the value of any number of units (by multiplying). It's like having a magic key that unlocks any amount! Example: If 5 apples cost ₹25, 1 apple costs ₹5. Easy! 😊"
"If 8 chocolates cost ₹80, what does 1 chocolate cost using the unitary method?","₹8","₹10","₹12","₹15","b","class6-unitary-method","**Find the cost of ONE! 🍫**<br>Step 1: Given - 8 chocolates → ₹80.<br>Step 2: Find 1 chocolate → ₹80 ÷ 8 = **₹10**.<br>Boom! That's the unitary method. Now you can find the cost of any number: 3 chocolates? ₹10 * 3 = ₹30. Simple and powerful! You're a shopping math whiz! 🛒"
"You need to make a paint color. Recipe A is 2 red : 3 white. You want a bigger batch but the same color. Which recipe is proportional?","4 red : 5 white","1 red : 1.5 white","3 red : 2 white","6 red : 8 white","b","class6-proportion-activities","**Perfect color match! 🎨**<br>To keep the same shade of pink, the ratio of Red:White must stay the same (2:3). Check 1:1.5: Multiply original 2:3 by 0.5 (2*0.5=1, 3*0.5=1.5). The ratio is the same! So, 1:1.5 is proportional. This smaller batch will make the exact same color. You're a master painter! 👨‍🎨"
"In a garden, 50 seeds cover 2 m². How many seeds for 6 m²? Use proportion.","100 seeds","150 seeds","200 seeds","250 seeds","b","class6-proportion-activities","**Let it grow! 🌱**<br>Set up the proportion: Seeds / Area = constant.<br>50 seeds / 2 m² = x seeds / 6 m².<br>Cross-multiply: 50 * 6 = 2 * x → 300 = 2x → x = **150 seeds**.<br>You can also use unitary: 1 m² needs 25 seeds (50÷2), so 6 m² needs 150 seeds (25*6). Your garden will be beautiful! 🌸"
"What does 'percentage' literally mean?","Out of 10","Per hundred","Part of a whole","A type of fraction","b","class7-percentage-definition","**Etymology win! 📚**<br>'Percentage' comes from Latin: 'Per' means 'out of' and 'Centum' means 'hundred'. So, percentage literally means **'out of a hundred'** or 'per hundred'. It's our universal language for comparison using a standard base of 100. Think of it as a measuring cup that always holds 100 parts! 🥤"
"Which visual tool is BEST for understanding percentages?","A bar graph","A 10x10 grid (100 squares)","A number line","A pie chart","b","class7-percentage-definition","**The 100-grid is magic! ✨**<br>A 10x10 grid has exactly 100 squares, making it the perfect visual for percentages!<br>✅ 25% = 25 squares shaded = 1/4 of the grid.<br>✅ 50% = 50 squares = 1/2.<br>✅ 100% = the whole grid!<br>You can see and color percentages directly. It's a percentage masterpiece! 🎨"
"To convert the fraction 3/5 to a percentage, what do you do?","Divide 3 by 5 and add %","Multiply 3/5 by 100 and add %","Find 5% of 3","Say '3 out of 5'","b","class7-percentage-conversions","**Multiply by 100%! 🚀**<br>To change any fraction or decimal to a percentage, just **multiply by 100 and add the % sign**.<br>For 3/5: (3/5) * 100 = 0.6 * 100 = **60%**.<br>Think of it as asking: 'If this fraction were out of 100 instead of out of 5, what would it be?' You got this! 💪"
"What is 75% expressed as a fraction in simplest form?","75/100","15/20","3/4","7.5/10","c","class7-percentage-conversions","**Simplify it down! 🔄**<br>75% means 75 out of 100, or 75/100. But always simplify! The HCF of 75 and 100 is 25. Divide both by 25: 75÷25=3, 100÷25=4. So, 75% = **3/4**. It's the same as three-quarters! This is one of the friendly conversions to remember. 🧠"
"To find 10% of ₹450 quickly in your head, what's the best trick?","Divide by 2","Move the decimal point one place to the left","Multiply by 10","Subtract 10","b","class7-percentage-calculations","**Decimal dash! 💨**<br>Finding 10% is super quick! Just **move the decimal point one place to the left**.<br>₹450.0 → move decimal left one place → **₹45.00**.<br>That's it! 10% of ₹450 = ₹45. This works because 10% = 10/100 = 0.1, and multiplying by 0.1 moves the decimal. Mental math magic! 🧙‍♂️"
"You see a phone battery at 65%. What does this mean?","65 minutes of power left","The battery is 65/100 full","The phone costs 65% more","65 parts are broken","b","class7-percentage-applications","**Real-world percentage! 📱**<br>A battery at 65% means it is **65 parts full out of a total of 100 parts**. It's a fraction of the whole capacity. It doesn't tell time left (that depends on usage), cost, or broken parts. It's a universal gauge we see every day! Great job connecting math to life! 🔋"
"In business, if Selling Price (SP) is GREATER than Cost Price (CP), what happens?","You make a Profit","You make a Loss","You break even","You get a discount","a","class7-profit-loss-basics","**Profit = Happy Dance! 💃🕺**<br>This is the golden rule of business: **If SP > CP, you make a PROFIT!** 🎉<br>Profit = SP - CP. This means you sold the item for more than it cost you, so you have extra money (profit). Time to celebrate your business smarts! 🥳"
"Cost Price (CP) is ₹200, Selling Price (SP) is ₹250. What is the profit PERCENTAGE?","20%","25%","50%","125%","b","class7-percentage-profit-loss","**Calculate the success rate! 📈**<br>Step 1: Profit = SP - CP = ₹250 - ₹200 = ₹50.<br>Step 2: Profit % = (Profit / CP) × 100 = (50 / 200) × 100 = 0.25 × 100 = **25%**.<br>This means you made a profit equal to 25% of your original cost. That's a great return! 🏆"
"The formula for Simple Interest is:","I = P + R + T","I = (P * R) / T","I = (P * R * T) / 100","I = P (1 + R)^T","c","class7-simple-interest-basics","**Remember 'PRT over 100'! 🙏**<br>The Simple Interest (SI) formula is **SI = (P × R × T) / 100**, where P=Principal, R=Rate % per year, T=Time in years. This formula calculates the 'rent' paid for using money. Don't forget to divide by 100 because R is a percentage! You've unlocked the interest secret! 🔑"
"Principal = ₹1000, Rate = 5% p.a., Time = 2 years. What is the Simple Interest?","₹50","₹100","₹150","₹200","b","class7-profit-loss-interest-games","**Plug it into the formula! ⚡**<br>SI = (P * R * T) / 100 = (1000 * 5 * 2) / 100 = (10000) / 100 = **₹100**. <br>Beautiful! The interest earned (or paid) is ₹100. With simple interest, it's the same amount each year: ₹50 per year for 2 years = ₹100 total. Straight line growth! 📈"
"If two quantities are in DIRECT proportion, what happens when one doubles?","The other halves","The other doubles","The other stays same","The other squares","b","class8-direct-proportion","**They move together! 👫**<br>In direct proportion, the two quantities change at the same rate. If one **doubles**, the other also **doubles**! If one triples, the other triples. Their ratio (y/x) remains constant. It's like two friends walking side-by-side at the same speed. You got the 'together' relationship! 🚶‍♂️🚶‍♀️"
"If speed and time for a fixed distance are related, what type of proportion is it?","Direct Proportion","Inverse Proportion","No Proportion","Continued Proportion","b","class8-inverse-proportion","**Think of a see-saw! ⚖️**<br>For a fixed distance: Speed * Time = Distance (constant). If you increase speed, you need less time to cover the same distance. If one goes UP, the other goes DOWN. This is the classic **Inverse Proportion**! Their product is constant. It's the 'opposite' relationship. Great thinking! ↔️"
"You know 5 books cost ₹250. If this is direct proportion, what do 8 books cost?","₹300","₹350","₹400","₹450","c","class8-proportion-problems-games","**Find the cost of one first! 📚**<br>Since it's direct proportion, cost/number is constant. Cost per book = ₹250 ÷ 5 = ₹50. Cost for 8 books = 8 * ₹50 = **₹400**. You could also set up a proportion: 5/250 = 8/x, cross-multiply, and solve. Either way, you've mastered direct proportion problem-solving! 🎯"
"Compound Interest is different from Simple Interest because:","It is calculated only once","You earn interest on the interest already earned","The rate is always lower","It is linear growth","b","class8-compound-interest-basics","**The 'Snowball Effect'! ⛄**<br>The magic of compound interest is that you earn interest **on your previous interest** as well as your original principal. This creates exponential growth, like a snowball getting bigger as it rolls downhill. Simple interest only gives you interest on the principal each time. Compound interest is the 8th wonder! ✨"
"To estimate how many years it takes to double your money with compound interest, you can use:","The Rule of 72","The Law of 100","The Principle of 50","The Formula of 10","a","class8-compound-vs-simple-interest","**The Rule of 72 is magical! ✨**<br>This quick mental trick gives you an estimate: **Years to double ≈ 72 ÷ Interest Rate (%)**. Example: At 9% interest, money doubles in about 72÷9=8 years. It's not exact, but it's incredibly useful for quick planning and seeing the power of compounding! 🚀"
"A shirt marked ₹1000 has a 20% discount. What is the discount amount?","₹20","₹100","₹200","₹800","c","class8-discount-tax-markup","**Calculate the cut! ✂️**<br>Discount = Discount% of Marked Price = (20/100) * ₹1000 = 0.2 * 1000 = **₹200**. The selling price would be ₹1000 - ₹200 = ₹800. Always calculate discount on the marked price, not the selling price. You're a savvy shopper! 🛍️"
"If an item costs ₹500 and has a 12% sales tax added, what is the final price?","₹440","₹560","₹600","₹620","b","class8-discount-tax-markup","**Don't forget the tax! 💸**<br>Tax Amount = 12% of ₹500 = (12/100)*500 = ₹60.<br>Final Price = Original Price + Tax = ₹500 + ₹60 = **₹560**.<br>Tax is an 'adder' to the price. You've successfully navigated the world of marked price, discount, and tax! 🧾"
